country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
IRL,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
FRA,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
PRT,Online TA,0,1,No Deposit,0,Transient,A,0,2,0
NLD,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
PRT,Online TA,0,2,No Deposit,0,Transient,A,0,2,0
ESP,Direct,0,1,No Deposit,0,Transient-Party,A,0,1,0
PRT,Groups,0,0,Non Refund,0,Transient,A,0,0,1
Others,Online TA,0,0,No Deposit,0,Transient,E,0,1,1
PRT,Groups,1,0,Non Refund,0,Contract,A,0,0,1
CN,Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
PRT,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
PRT,Groups,1,0,Non Refund,0,Transient,A,0,0,1
FRA,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
PRT,Offline TA/TO,0,0,Non Refund,3,Transient,A,0,0,1
Others,Direct,0,0,No Deposit,0,Transient,D,1,0,0
BRA,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
BEL,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
Others,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
DEU,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
FRA,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
ITA,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
PRT,Offline TA/TO,0,0,Non Refund,39,Transient,A,0,0,1
PRT,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
ESP,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,1,0
ESP,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
PRT,Offline TA/TO,0,0,Non Refund,0,Transient,A,0,0,1
CHE,Online TA,0,2,No Deposit,0,Transient,A,0,2,0
GBR,Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
ESP,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
PRT,Offline TA/TO,1,0,No Deposit,0,Transient,A,0,0,1
PRT,Direct,0,0,No Deposit,0,Transient,A,0,0,0
BEL,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
PRT,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,1
DEU,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
Others,Online TA,0,0,No Deposit,0,Transient,F,0,1,1
PRT,Corporate,0,1,No Deposit,0,Transient-Party,A,0,0,0
DEU,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
Others,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
PRT,Complementary,0,0,No Deposit,0,Transient,B,0,1,0
PRT,Online TA,0,0,No Deposit,0,Transient,A,1,2,0
FRA,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
ESP,Direct,0,0,No Deposit,0,Transient,E,0,2,0
FRA,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
BEL,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Others,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
IRL,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
PRT,Corporate,0,0,Non Refund,0,Transient-Party,E,0,0,1
FRA,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
FRA,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
IRL,Online TA,0,1,No Deposit,0,Transient,A,0,1,1
ESP,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
GBR,Groups,0,1,No Deposit,0,Transient-Party,D,0,0,0
ESP,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
FRA,Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
IRL,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
BEL,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
DEU,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
BEL,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
